dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,187,1857,learned,187,7,2,1196,11.7,219,2584,1649,2000,138,0.19709,0.61488,0.49633,-0.23884,0.75556,0.10897,3,8,5,0.066667,115,0.16899,0.5949,0.45429,-0.30953,0.84821,0.11829,3,10.333,10,0.40131,1.1073,2.062,1.9737,2.906,0.98096,0.65108,0.046645,0.095761,0.27293,0.33433,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,188,1858,learned,188,31,1,39,2.86,220,2615,1649,2000,30,1,0.61409,1e-06,,,0.2106,30,1,1,0.11799,0,,,,,,,0,,,,1.0386,,,,1.1178,,0.033688,,0.14561,,0,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,189,1861,learned,189,8,1,14,0.68,220,2623,1649,2000,7,1,0.59181,1e-06,,,0.19953,7,1,1,-0.025255,0,,,,,,,0,,,,1.086,,,,0.93003,,0.035803,,0.030413,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,190,1885,learned,190,17,1,30,1.61,220,2642,1649,2000,18,0.90656,0.61577,0.31042,-0.98368,1,0.19676,16,1.125,1,0.049127,0,,,,,,,0,,,,1.0575,,1.082,,1.2693,,0.041437,,0.08977,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,191,1900,learned,191,17,1,24,1.59,220,2659,1649,2000,16,1,0.72132,1e-06,,,0.26206,16,1,1,0.053309,0,,,,,,,0,,,,1.0467,,,,1.0528,,0.037072,,0.056428,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,192,1927,learned,192,12,2,66,1.28,220,2675,1649,2000,18,0.63599,0.59436,0.65569,0.093534,1,0.1419,10,1.6,2,0.033277,0,,,,,,,0,,,,1.0555,,1.053,,1.953,,0.036616,,0.19578,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,193,1939,learned,193,14,2,61,1.49,220,2692,1649,2000,19,0.65735,0.55768,0.64278,0.13239,1,0.16224,12,1.4167,1,0.17533,0,,,,,,,0,,,,1.0466,,1.1617,,3.2469,,0.036259,,0.1105,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,194,1960,learned,194,10,1,16,0.86,220,2703,1649,2000,10,0.9011,0.58346,0.32266,-0.80828,1,0.19522,9,1.1111,1,0.15033,0,,,,,,,0,,,,1.0743,,1.0542,,1.5395,,0.039987,,0.089236,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,195,1965,learned,195,15,1,50,1.49,220,2718,1649,2000,14,1,0.71229,1e-06,,,0.25857,14,1,1,0.25491,0,,,,,,,0,,,,1.0593,,,,0.98727,,0.041025,,0.1065,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,196,1966,learned,196,7,1,41,0.83,220,2727,1649,2000,11,0.56557,0.66751,0.68452,0.024851,0.6,0.21836,6,1.8333,1,0.014881,0,,,,,,,0,,,,1.0875,,1.9838,,10.899,,0.040797,,0.041678,,,
